username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 09:09:05,"While many people think homelessness could never happen to them, this article points out those unlucky circumstance… https://t.co/mdfWlcO987",1,Agorapulse app,
Raze Parking Structure 3,1483604543740907523,"Santa Monica, CA",2023-01-22 08:56:16,"@MayorOfLA If Dr. King were alive today, it would not escape his notice that a disproportionate number of black peo… https://t.co/esVoICUA59",0,Twitter Web App,
Official Biden Moderate 🇽,874122678,"Los Angeles, CA",2023-01-22 08:53:18,"@garrytan Your chart shows a downward trend. Not arguing that SF doesn't have a drug and homeless problem, but any… https://t.co/hXLk1AQQnK",0,Twitter Web App,
ElGuero,472402137,"Los Angeles, CA",2023-01-22 08:44:15,"@felizbacagirl @Sportz_DC I live in DTLA. CA has the highest taxes. Poor roads. Homeless crisis, crime x10, insanity. CA is a terrible ex.",0,Twitter for iPhone,
Kassandra P,1579923585795170304,Los Angeles,2023-01-22 08:25:23,@Dreamseeker_USA @catturd2 she also was OFF KEY twice i counted while i could STILL tolerate that annoying sound...… https://t.co/UcdZFlJcjP,0,Twitter Web App,
Jeff Charlebois,1162127259999715330,Los Angeles,2023-01-22 08:18:50,@GeorgePapa19 Dude was having relations with da homeless bum. We all know it.,0,Twitter for iPhone,
PaperHand CEO,54044868,"Los Angeles, California",2023-01-22 08:17:59,@TheKevinDalton @EndWokeness That’s a nice way to dump more homeless and gangs into Los Angeles,0,Twitter for iPhone,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 08:11:06,Homeless Woman's 4th Invisible People Interview in 2 Years; Los Angeles Why Is Arien Still Homeless?… https://t.co/ftiqrG9qpw,1,Agorapulse app,
The ULTRA Craftsman 🇺🇸🔨☢️,1088333272487100417,"Los Angeles, CA",2023-01-22 08:05:54,@lalovestrump @birdgirlc @nithyavraman They are focused on going after how you cook in your private home but have n… https://t.co/nbMyEhBGOE,0,Twitter for iPhone,
Doug Moran,14800710,Los Angeles,2023-01-22 07:44:45,@L79913 @hostiledesign Because it’s not really a homeless issue,0,Twitter for iPhone,
Kerry,1392592640164593664,"Los Angeles, CA",2023-01-22 07:43:17,Generally of the mind to make change happen you have to meet people at their level but I have a line and it's pushi… https://t.co/iqWYHMmTtH,0,Twitter Web App,
BCHABC/BCHSV-are-scams,3265288466,"Los Angeles, CA",2023-01-22 07:17:03,"@MayorOfLA Drug addiction, mental health decline &amp; mass influx of homelesses from other states created this mess. W… https://t.co/9pq93sMn4b",0,Twitter Web App,
Farid X,327579878,Los Angeles,2023-01-22 07:14:04,"@CBSLA Man, they keep adopting new language every year, and it’s funny how media immediately hopes on board.  This… https://t.co/zpvKoh3K9a",0,Twitter for iPhone,
Nikkocaine,1285086433141616640,"Los Angeles, CA",2023-01-22 07:13:18,@CuffsTheLegend That homeless mf in every city who thinks he runs the underpass,0,Twitter for iPhone,
Andy Herman,1531063505217957888,"Los Angeles, CA",2023-01-22 06:58:55,@RoofLesser @KiraDurbin @cd4losangeles @nithyavraman @CaliCre8ive @K_CrowleyLA simpy being in the life of another h… https://t.co/ryc9mWm6tb,0,Twitter for Android,
Andy Herman,1531063505217957888,"Los Angeles, CA",2023-01-22 06:36:08,"@ahouse4all A young homeless friend of mine grew up in a tobacco-picking farm labor family in NoCarol. 
(At least)… https://t.co/e1GWywwG5Q",0,Twitter for Android,
Dr. ChristopherLandavazo,548961451,"Hollywood, Los Angeles",2023-01-22 06:28:03,"@MayorOfLA @LACity @POTUS Lady, your job is here in LA to fix the problem #democrats created with #Defund and… https://t.co/Us6TtS8oBZ",0,Twitter for iPhone,
David Race,756576277520322560,"Los Angeles, CA",2023-01-22 06:18:52,@BobBlumenfield Get the homeless encampment removed from Canoga Avenue between Victory and Van Owen. It's out of control!,0,Twitter for Android,
Hollywood 4 Freedom,1597466921997258752,"Hollywood, Los Angeles",2023-01-22 06:16:29,@CBSLA Our dear friend and owner of the Pineapple Hill has been asking government officials to help with the homele… https://t.co/EtCbg4FrWx,0,Twitter for iPhone,
Ministry of Truth,18154504,"Los Angeles, CA",2023-01-22 06:02:04,@GiannoCaldwell Might be good to yelp out that the owner is passionate about handing out free books and bread to th… https://t.co/A4Kk94QRqa,0,Twitter for iPhone,
Plexisonic,1585853266448949248,"Pasadena, CA",2023-01-22 06:01:41,@CBSLA 3 homeless,0,Twitter for iPhone,
David “I Hate Constituents” Graham-Caso Parody,1415720848212652032,"Venice, Los Angeles",2023-01-22 05:45:57,@Maebe_A_Girl What restaurant do you work at? I’m going to send all of the homeless in venice who don’t want help t… https://t.co/O4ZRunEoub,0,Twitter for iPhone,
Brad Ewing 𓊍,330490860,"Santa Monica, CA",2023-01-22 05:41:09,@revhowardarson It has been public knowledge *for years* that AHF is a slumlord and engaged in other nefarious beha… https://t.co/OmAKT8cLKB,0,Twitter Web App,
bob,1115596310759895040,"Redondo Beach, CA",2023-01-22 05:36:32,@fox4524 No self respecting homeless person would wear that shit,0,Twitter for iPhone,
America Is InTrouble,186345274,San Fernando Valley,2023-01-22 05:30:24,Would Chinese #CCP owned U.S. farmlands be a solution for #homeless overwhelmed with CHINESE imported drugs? The Ch… https://t.co/0F9kJ16SXG,0,Twitter Web App,
Cali z Classic Review,2599205761,Los Angeles,2023-01-22 05:26:54,"@SenWarren its also unfair for us to be taking care of a bunch of illegals, migrants, immigrants &amp; asylum seekers.… https://t.co/HYuD44XKCl",0,Twitter Web App,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-22 05:11:06,James is homeless in New York City. He video blogs out of an Apple Store. https://t.co/DuzP0GG42W https://t.co/4o9rUyfcZE,7,Agorapulse app,
🦩Heatherella🦩,68635588,"Los Angeles, CA",2023-01-22 05:05:57,"@LAmag @MayorOfLA @POTUS Hey Karen, really loving the red. Just one thing, it’s eerily similar to the shade of bloo… https://t.co/Ybt1SzwPfw",1,Twitter for iPhone,
🦩Heatherella🦩,68635588,"Los Angeles, CA",2023-01-22 04:58:54,"@KarenBassLA Hey Karen, I just watched a homeless man chase two young girls in a parking lot! You work for us so ma… https://t.co/XHONMDwZ8y",0,Twitter for iPhone,
Joshua Nogales,705995125109882880,"Downey, CA",2023-01-22 04:55:35,"@323Socialist While I agree with the concern for the homeless, you have to realize homelessness is not a malady but… https://t.co/GlnvnN9zrD",0,Twitter Web App,
Cy Husain 🌹,1141581364770160640,"West Hollywood, CA 90069",2023-01-22 04:54:25,@FOXLA Over $113 Billion alone was spent to fund neonazi terrorists in Ukraine and now we have a $1.64 Trillion def… https://t.co/Dy9K8vW9Jv,0,Twitter Web App,
Sergio Michel,233627820,"Hollywood, Los Angeles",2023-01-22 04:34:40,"@realginnyrobins Yes. Look at the demonic Jesus met at the caves. That is literally the majority of ""homeless"".",0,Twitter for Android,
